MU: 0 0 0 0 0 
algo,mean,variance,S,tail
gl,9.861500e-01,9.281228e-04,5,1.000000e-02
nv,9.871300e-01,9.695668e-04,5,1.000000e-02
gl,9.863500e-01,6.411353e-04,5,1.000000e-02
nv,9.870400e-01,7.045931e-04,5,1.000000e-02
gl,9.866400e-01,8.326066e-04,5,1.000000e-02
nv,9.885867e-01,5.101433e-04,5,1.000000e-02
gl,9.834050e-01,1.415148e-03,5,1.000000e-02
nv,9.867450e-01,7.353266e-04,5,1.000000e-02
gl,9.848440e-01,1.160583e-03,5,1.000000e-02
nv,9.893500e-01,6.130136e-04,5,1.000000e-02
gl,9.840933e-01,1.127091e-03,5,1.000000e-02
nv,9.862650e-01,9.115118e-04,5,1.000000e-02
gl,9.850814e-01,1.005200e-03,5,1.000000e-02
nv,9.876614e-01,7.968552e-04,5,1.000000e-02
gl,9.857662e-01,9.166883e-04,5,1.000000e-02
nv,9.876725e-01,7.386463e-04,5,1.000000e-02
gl,9.825533e-01,1.317191e-03,5,1.000000e-02
nv,9.876778e-01,7.341274e-04,5,1.000000e-02
gl,9.827550e-01,1.260106e-03,5,1.000000e-02
nv,9.875540e-01,7.708918e-04,5,1.000000e-02
gl,9.814255e-01,1.374143e-03,5,1.000000e-02
nv,9.881427e-01,7.188522e-04,5,1.000000e-02
gl,9.817350e-01,1.327716e-03,5,1.000000e-02
nv,9.871300e-01,8.594152e-04,5,1.000000e-02
gl,9.807815e-01,1.394529e-03,5,1.000000e-02
nv,9.858692e-01,9.511127e-04,5,1.000000e-02
gl,9.811814e-01,1.362551e-03,5,1.000000e-02
nv,9.861750e-01,9.353508e-04,5,1.000000e-02
gl,9.802500e-01,1.414918e-03,5,1.000000e-02
nv,9.849087e-01,1.099583e-03,5,1.000000e-02
gl,9.801744e-01,1.381875e-03,5,1.000000e-02
nv,9.842025e-01,1.115468e-03,5,1.000000e-02
gl,9.798494e-01,1.347525e-03,5,1.000000e-02
nv,9.835594e-01,1.184410e-03,5,1.000000e-02
gl,9.803078e-01,1.297023e-03,5,1.000000e-02
nv,9.830650e-01,1.216312e-03,5,1.000000e-02
gl,9.800953e-01,1.322027e-03,5,1.000000e-02
nv,9.830289e-01,1.205278e-03,5,1.000000e-02
gl,9.801220e-01,1.303999e-03,5,1.000000e-02
nv,9.831015e-01,1.185835e-03,5,1.000000e-02
gl,9.804500e-01,1.261199e-03,5,1.000000e-02
nv,9.834333e-01,1.161765e-03,5,1.000000e-02
gl,9.807732e-01,1.257619e-03,5,1.000000e-02
nv,9.829755e-01,1.151277e-03,5,1.000000e-02
gl,9.806035e-01,1.293008e-03,5,1.000000e-02
nv,9.831813e-01,1.125345e-03,5,1.000000e-02
gl,9.812196e-01,1.250531e-03,5,1.000000e-02
nv,9.822075e-01,1.223316e-03,5,1.000000e-02
gl,9.809680e-01,1.254003e-03,5,1.000000e-02
nv,9.824200e-01,1.182765e-03,5,1.000000e-02
gl,9.812842e-01,1.237202e-03,5,1.000000e-02
nv,9.822350e-01,1.186015e-03,5,1.000000e-02
gl,9.814663e-01,1.209540e-03,5,1.000000e-02
nv,9.814200e-01,1.357761e-03,5,1.000000e-02
gl,9.818254e-01,1.178282e-03,5,1.000000e-02
nv,9.817164e-01,1.324819e-03,5,1.000000e-02
gl,9.815417e-01,1.274740e-03,5,1.000000e-02
nv,9.822424e-01,1.287569e-03,5,1.000000e-02
gl,9.813007e-01,1.288750e-03,5,1.000000e-02
nv,9.814900e-01,1.332023e-03,5,1.000000e-02
gl,9.817900e-01,1.255761e-03,5,1.000000e-02
nv,9.812658e-01,1.321747e-03,5,1.000000e-02
gl,9.820356e-01,1.233380e-03,5,1.000000e-02
nv,9.811503e-01,1.348196e-03,5,1.000000e-02
gl,9.820045e-01,1.270535e-03,5,1.000000e-02
nv,9.816176e-01,1.317007e-03,5,1.000000e-02
gl,9.823726e-01,1.239894e-03,5,1.000000e-02
nv,9.816135e-01,1.343514e-03,5,1.000000e-02
gl,9.823586e-01,1.228392e-03,5,1.000000e-02
nv,9.813700e-01,1.376251e-03,5,1.000000e-02
gl,9.823453e-01,1.207724e-03,5,1.000000e-02
nv,9.813258e-01,1.378982e-03,5,1.000000e-02
gl,9.815257e-01,1.361933e-03,5,1.000000e-02
nv,9.813116e-01,1.356172e-03,5,1.000000e-02
gl,9.812182e-01,1.363769e-03,5,1.000000e-02
nv,9.815266e-01,1.330255e-03,5,1.000000e-02
gl,9.812038e-01,1.369259e-03,5,1.000000e-02
nv,9.815136e-01,1.329568e-03,5,1.000000e-02
gl,9.810550e-01,1.371840e-03,5,1.000000e-02
nv,9.815587e-01,1.326812e-03,5,1.000000e-02
gl,9.811800e-01,1.357246e-03,5,1.000000e-02
nv,9.813161e-01,1.393815e-03,5,1.000000e-02
gl,9.809810e-01,1.352762e-03,5,1.000000e-02
nv,9.811517e-01,1.411983e-03,5,1.000000e-02
gl,9.811181e-01,1.334756e-03,5,1.000000e-02
nv,9.814528e-01,1.386231e-03,5,1.000000e-02
gl,9.807132e-01,1.360130e-03,5,1.000000e-02
nv,9.816691e-01,1.361036e-03,5,1.000000e-02
gl,9.809049e-01,1.340844e-03,5,1.000000e-02
nv,9.817347e-01,1.352484e-03,5,1.000000e-02
gl,9.807909e-01,1.345299e-03,5,1.000000e-02
nv,9.819791e-01,1.330919e-03,5,1.000000e-02
gl,9.807328e-01,1.377794e-03,5,1.000000e-02
nv,9.818319e-01,1.365941e-03,5,1.000000e-02
gl,9.810275e-01,1.354739e-03,5,1.000000e-02
nv,9.816162e-01,1.398999e-03,5,1.000000e-02
gl,9.809002e-01,1.355812e-03,5,1.000000e-02
nv,9.817282e-01,1.389414e-03,5,1.000000e-02
gl,9.808076e-01,1.354233e-03,5,1.000000e-02
nv,9.817862e-01,1.391755e-03,5,1.000000e-02
gl,9.806769e-01,1.364917e-03,5,1.000000e-02
nv,9.819988e-01,1.369893e-03,5,1.000000e-02
gl,9.805810e-01,1.368589e-03,5,1.000000e-02
nv,9.819104e-01,1.383767e-03,5,1.000000e-02
gl,9.805551e-01,1.366051e-03,5,1.000000e-02
nv,9.821543e-01,1.362125e-03,5,1.000000e-02
gl,9.804411e-01,1.371822e-03,5,1.000000e-02
nv,9.817813e-01,1.418651e-03,5,1.000000e-02
gl,9.802233e-01,1.374600e-03,5,1.000000e-02
nv,9.820616e-01,1.397483e-03,5,1.000000e-02
gl,9.804936e-01,1.355422e-03,5,1.000000e-02
nv,9.819559e-01,1.397830e-03,5,1.000000e-02
gl,9.806979e-01,1.335368e-03,5,1.000000e-02
nv,9.821433e-01,1.377104e-03,5,1.000000e-02
gl,9.804660e-01,1.351463e-03,5,1.000000e-02
nv,9.824195e-01,1.357825e-03,5,1.000000e-02
gl,9.803202e-01,1.394791e-03,5,1.000000e-02
nv,9.825317e-01,1.338543e-03,5,1.000000e-02
gl,9.803247e-01,1.383078e-03,5,1.000000e-02
nv,9.826158e-01,1.337973e-03,5,1.000000e-02
gl,9.802610e-01,1.407793e-03,5,1.000000e-02
nv,9.825638e-01,1.353697e-03,5,1.000000e-02
gl,9.800574e-01,1.430082e-03,5,1.000000e-02
nv,9.826916e-01,1.336279e-03,5,1.000000e-02
gl,9.801586e-01,1.413330e-03,5,1.000000e-02
nv,9.824652e-01,1.348623e-03,5,1.000000e-02
gl,9.800344e-01,1.428858e-03,5,1.000000e-02
nv,9.823161e-01,1.353397e-03,5,1.000000e-02
gl,9.801223e-01,1.409900e-03,5,1.000000e-02
nv,9.820965e-01,1.356710e-03,5,1.000000e-02
gl,9.799745e-01,1.438809e-03,5,1.000000e-02
nv,9.822679e-01,1.340044e-03,5,1.000000e-02
gl,9.798719e-01,1.460710e-03,5,1.000000e-02
nv,9.822933e-01,1.338532e-03,5,1.000000e-02
gl,9.801132e-01,1.443420e-03,5,1.000000e-02
nv,9.823638e-01,1.334669e-03,5,1.000000e-02
gl,9.797242e-01,1.482166e-03,5,1.000000e-02
nv,9.820745e-01,1.371323e-03,5,1.000000e-02
gl,9.795887e-01,1.488695e-03,5,1.000000e-02
nv,9.820206e-01,1.366840e-03,5,1.000000e-02
gl,9.796630e-01,1.471147e-03,5,1.000000e-02
nv,9.822342e-01,1.351170e-03,5,1.000000e-02
gl,9.797513e-01,1.457497e-03,5,1.000000e-02
nv,9.821364e-01,1.377743e-03,5,1.000000e-02
gl,9.798115e-01,1.448247e-03,5,1.000000e-02
nv,9.822455e-01,1.364749e-03,5,1.000000e-02
gl,9.800673e-01,1.433485e-03,5,1.000000e-02
nv,9.824527e-01,1.349734e-03,5,1.000000e-02
gl,9.796616e-01,1.460521e-03,5,1.000000e-02
nv,9.826116e-01,1.335320e-03,5,1.000000e-02
gl,9.793907e-01,1.477681e-03,5,1.000000e-02
nv,9.827296e-01,1.324284e-03,5,1.000000e-02
gl,9.793634e-01,1.473093e-03,5,1.000000e-02
nv,9.828588e-01,1.309440e-03,5,1.000000e-02
gl,9.793732e-01,1.468214e-03,5,1.000000e-02
nv,9.828285e-01,1.314050e-03,5,1.000000e-02
gl,9.795877e-01,1.453803e-03,5,1.000000e-02
nv,9.826532e-01,1.329894e-03,5,1.000000e-02
gl,9.797523e-01,1.442200e-03,5,1.000000e-02
nv,9.824804e-01,1.345530e-03,5,1.000000e-02
gl,9.799841e-01,1.428842e-03,5,1.000000e-02
nv,9.825104e-01,1.337406e-03,5,1.000000e-02
gl,9.797793e-01,1.450804e-03,5,1.000000e-02
nv,9.826716e-01,1.323661e-03,5,1.000000e-02
gl,9.796122e-01,1.469400e-03,5,1.000000e-02
nv,9.824949e-01,1.332732e-03,5,1.000000e-02
gl,9.795442e-01,1.482186e-03,5,1.000000e-02
nv,9.821724e-01,1.402886e-03,5,1.000000e-02
gl,9.797526e-01,1.468605e-03,5,1.000000e-02
nv,9.822296e-01,1.392302e-03,5,1.000000e-02
gl,9.798969e-01,1.458321e-03,5,1.000000e-02
nv,9.824099e-01,1.379075e-03,5,1.000000e-02
gl,9.798862e-01,1.458235e-03,5,1.000000e-02
nv,9.824066e-01,1.383834e-03,5,1.000000e-02
gl,9.799678e-01,1.450928e-03,5,1.000000e-02
nv,9.824213e-01,1.385538e-03,5,1.000000e-02
gl,9.801407e-01,1.438468e-03,5,1.000000e-02
nv,9.823360e-01,1.391232e-03,5,1.000000e-02
gl,9.802093e-01,1.427379e-03,5,1.000000e-02
nv,9.820961e-01,1.420948e-03,5,1.000000e-02
gl,9.801063e-01,1.429929e-03,5,1.000000e-02
nv,9.821432e-01,1.411167e-03,5,1.000000e-02
gl,9.801776e-01,1.427555e-03,5,1.000000e-02
nv,9.822698e-01,1.398405e-03,5,1.000000e-02
gl,9.799730e-01,1.464484e-03,5,1.000000e-02
nv,9.822855e-01,1.389481e-03,5,1.000000e-02
gl,9.799836e-01,1.458210e-03,5,1.000000e-02
nv,9.822629e-01,1.379746e-03,5,1.000000e-02
gl,9.797098e-01,1.478408e-03,5,1.000000e-02
nv,9.823707e-01,1.368240e-03,5,1.000000e-02
gl,9.798090e-01,1.467716e-03,5,1.000000e-02
nv,9.823666e-01,1.362236e-03,5,1.000000e-02
gl,9.798884e-01,1.466579e-03,5,1.000000e-02
nv,9.824394e-01,1.351048e-03,5,1.000000e-02
gl,9.798484e-01,1.460418e-03,5,1.000000e-02
nv,9.823624e-01,1.359006e-03,5,1.000000e-02
gl,9.796188e-01,1.487632e-03,5,1.000000e-02
nv,9.824306e-01,1.348133e-03,5,1.000000e-02
gl,9.797241e-01,1.475545e-03,5,1.000000e-02
nv,9.825614e-01,1.336621e-03,5,1.000000e-02
gl,9.796031e-01,1.480219e-03,5,1.000000e-02
nv,9.826328e-01,1.328096e-03,5,1.000000e-02
gl,9.796857e-01,1.469172e-03,5,1.000000e-02
nv,9.825619e-01,1.321395e-03,5,1.000000e-02
gl,9.795527e-01,1.476657e-03,5,1.000000e-02
nv,9.827164e-01,1.311068e-03,5,1.000000e-02
gl,9.795437e-01,1.473572e-03,5,1.000000e-02
nv,9.827826e-01,1.303642e-03,5,1.000000e-02
gl,9.796644e-01,1.463210e-03,5,1.000000e-02
nv,9.828483e-01,1.293993e-03,5,1.000000e-02
gl,9.797794e-01,1.453467e-03,5,1.000000e-02
nv,9.829197e-01,1.286337e-03,5,1.000000e-02
gl,9.795918e-01,1.467961e-03,5,1.000000e-02
nv,9.829224e-01,1.282608e-03,5,1.000000e-02
gl,9.795712e-01,1.466753e-03,5,1.000000e-02
nv,9.827220e-01,1.298073e-03,5,1.000000e-02
gl,9.795417e-01,1.466673e-03,5,1.000000e-02
nv,9.826483e-01,1.306900e-03,5,1.000000e-02
gl,9.796596e-01,1.456417e-03,5,1.000000e-02
nv,9.825883e-01,1.307146e-03,5,1.000000e-02
gl,9.797134e-01,1.451531e-03,5,1.000000e-02
nv,9.826919e-01,1.297295e-03,5,1.000000e-02
gl,9.797103e-01,1.455765e-03,5,1.000000e-02
nv,9.826947e-01,1.291872e-03,5,1.000000e-02
gl,9.797162e-01,1.452417e-03,5,1.000000e-02
nv,9.826205e-01,1.301134e-03,5,1.000000e-02
gl,9.798765e-01,1.442742e-03,5,1.000000e-02
nv,9.825128e-01,1.303011e-03,5,1.000000e-02
gl,9.798387e-01,1.442555e-03,5,1.000000e-02
nv,9.825410e-01,1.302668e-03,5,1.000000e-02
gl,9.799840e-01,1.432755e-03,5,1.000000e-02
nv,9.824842e-01,1.302619e-03,5,1.000000e-02
gl,9.801519e-01,1.423783e-03,5,1.000000e-02
nv,9.823302e-01,1.316328e-03,5,1.000000e-02
gl,9.802730e-01,1.414244e-03,5,1.000000e-02
nv,9.823781e-01,1.308017e-03,5,1.000000e-02
gl,9.803099e-01,1.406195e-03,5,1.000000e-02
nv,9.823669e-01,1.304957e-03,5,1.000000e-02
gl,9.803474e-01,1.402538e-03,5,1.000000e-02
nv,9.822753e-01,1.306920e-03,5,1.000000e-02
gl,9.802078e-01,1.415876e-03,5,1.000000e-02
nv,9.821475e-01,1.323519e-03,5,1.000000e-02
gl,9.801228e-01,1.425557e-03,5,1.000000e-02
nv,9.820842e-01,1.327068e-03,5,1.000000e-02
gl,9.802376e-01,1.416625e-03,5,1.000000e-02
nv,9.819602e-01,1.331045e-03,5,1.000000e-02
gl,9.802957e-01,1.407826e-03,5,1.000000e-02
nv,9.820087e-01,1.326600e-03,5,1.000000e-02
gl,9.802786e-01,1.414004e-03,5,1.000000e-02
nv,9.820099e-01,1.321188e-03,5,1.000000e-02
gl,9.801116e-01,1.439015e-03,5,1.000000e-02
nv,9.819813e-01,1.318249e-03,5,1.000000e-02
gl,9.801220e-01,1.440364e-03,5,1.000000e-02
nv,9.820270e-01,1.312922e-03,5,1.000000e-02
gl,9.801723e-01,1.439595e-03,5,1.000000e-02
nv,9.821160e-01,1.306609e-03,5,1.000000e-02
gl,9.802190e-01,1.432403e-03,5,1.000000e-02
nv,9.820794e-01,1.308338e-03,5,1.000000e-02
gl,9.801423e-01,1.441628e-03,5,1.000000e-02
nv,9.822147e-01,1.300633e-03,5,1.000000e-02
gl,9.802577e-01,1.432721e-03,5,1.000000e-02
nv,9.823235e-01,1.292611e-03,5,1.000000e-02
gl,9.803305e-01,1.424975e-03,5,1.000000e-02
nv,9.823376e-01,1.290668e-03,5,1.000000e-02
gl,9.803234e-01,1.419296e-03,5,1.000000e-02
nv,9.823298e-01,1.292012e-03,5,1.000000e-02
gl,9.803696e-01,1.413541e-03,5,1.000000e-02
nv,9.822752e-01,1.309521e-03,5,1.000000e-02
gl,9.802431e-01,1.426155e-03,5,1.000000e-02
nv,9.823264e-01,1.307740e-03,5,1.000000e-02
gl,9.801471e-01,1.426170e-03,5,1.000000e-02
nv,9.824014e-01,1.299969e-03,5,1.000000e-02
gl,9.801728e-01,1.422279e-03,5,1.000000e-02
nv,9.823620e-01,1.303222e-03,5,1.000000e-02
gl,9.802141e-01,1.414094e-03,5,1.000000e-02
nv,9.822191e-01,1.316399e-03,5,1.000000e-02
gl,9.802892e-01,1.405851e-03,5,1.000000e-02
nv,9.821959e-01,1.311181e-03,5,1.000000e-02
gl,9.802514e-01,1.405356e-03,5,1.000000e-02
nv,9.821369e-01,1.312649e-03,5,1.000000e-02
gl,9.801930e-01,1.405041e-03,5,1.000000e-02
nv,9.822065e-01,1.304579e-03,5,1.000000e-02
gl,9.802488e-01,1.396754e-03,5,1.000000e-02
nv,9.822653e-01,1.299254e-03,5,1.000000e-02
gl,9.802171e-01,1.397543e-03,5,1.000000e-02
nv,9.822296e-01,1.314305e-03,5,1.000000e-02
gl,9.802447e-01,1.398359e-03,5,1.000000e-02
nv,9.823096e-01,1.306537e-03,5,1.000000e-02
gl,9.803512e-01,1.390638e-03,5,1.000000e-02
nv,9.823276e-01,1.307508e-03,5,1.000000e-02
gl,9.803375e-01,1.388850e-03,5,1.000000e-02
nv,9.823195e-01,1.305867e-03,5,1.000000e-02
gl,9.804210e-01,1.382463e-03,5,1.000000e-02
nv,9.823743e-01,1.300268e-03,5,1.000000e-02
gl,9.804687e-01,1.377741e-03,5,1.000000e-02
nv,9.823105e-01,1.299120e-03,5,1.000000e-02
gl,9.805503e-01,1.369930e-03,5,1.000000e-02
nv,9.822766e-01,1.295801e-03,5,1.000000e-02
gl,9.805165e-01,1.378837e-03,5,1.000000e-02
nv,9.823903e-01,1.289089e-03,5,1.000000e-02
gl,9.805142e-01,1.378529e-03,5,1.000000e-02
nv,9.823832e-01,1.289080e-03,5,1.000000e-02
gl,9.806030e-01,1.371289e-03,5,1.000000e-02
nv,9.823783e-01,1.284435e-03,5,1.000000e-02
gl,9.806905e-01,1.364577e-03,5,1.000000e-02
nv,9.824712e-01,1.277515e-03,5,1.000000e-02
gl,9.805899e-01,1.376782e-03,5,1.000000e-02
nv,9.824588e-01,1.281782e-03,5,1.000000e-02
gl,9.806757e-01,1.370070e-03,5,1.000000e-02
nv,9.824469e-01,1.276746e-03,5,1.000000e-02
gl,9.806912e-01,1.365601e-03,5,1.000000e-02
nv,9.823963e-01,1.295851e-03,5,1.000000e-02
gl,9.807498e-01,1.359981e-03,5,1.000000e-02
nv,9.824315e-01,1.290608e-03,5,1.000000e-02
gl,9.808062e-01,1.354949e-03,5,1.000000e-02
nv,9.823722e-01,1.294960e-03,5,1.000000e-02
gl,9.807919e-01,1.353363e-03,5,1.000000e-02
nv,9.823918e-01,1.293311e-03,5,1.000000e-02
gl,9.806979e-01,1.355535e-03,5,1.000000e-02
nv,9.823010e-01,1.306399e-03,5,1.000000e-02
gl,9.806946e-01,1.367658e-03,5,1.000000e-02
nv,9.822681e-01,1.310879e-03,5,1.000000e-02
gl,9.807605e-01,1.361111e-03,5,1.000000e-02
nv,9.822922e-01,1.307224e-03,5,1.000000e-02
gl,9.806933e-01,1.372105e-03,5,1.000000e-02
nv,9.823601e-01,1.300520e-03,5,1.000000e-02
gl,9.807677e-01,1.365167e-03,5,1.000000e-02
nv,9.823841e-01,1.295208e-03,5,1.000000e-02
gl,9.807852e-01,1.362490e-03,5,1.000000e-02
nv,9.824329e-01,1.291091e-03,5,1.000000e-02
gl,9.807336e-01,1.364557e-03,5,1.000000e-02
nv,9.824606e-01,1.287027e-03,5,1.000000e-02
gl,9.807101e-01,1.372553e-03,5,1.000000e-02
nv,9.823402e-01,1.305876e-03,5,1.000000e-02
gl,9.807117e-01,1.371278e-03,5,1.000000e-02
nv,9.822494e-01,1.304814e-03,5,1.000000e-02
gl,9.807986e-01,1.364581e-03,5,1.000000e-02
nv,9.822453e-01,1.307212e-03,5,1.000000e-02
gl,9.808968e-01,1.358292e-03,5,1.000000e-02
nv,9.822597e-01,1.305580e-03,5,1.000000e-02
gl,9.808723e-01,1.354903e-03,5,1.000000e-02
nv,9.823092e-01,1.300125e-03,5,1.000000e-02
gl,9.808183e-01,1.364518e-03,5,1.000000e-02
nv,9.822636e-01,1.306512e-03,5,1.000000e-02
gl,9.808254e-01,1.363403e-03,5,1.000000e-02
nv,9.823181e-01,1.300515e-03,5,1.000000e-02
gl,9.808847e-01,1.358960e-03,5,1.000000e-02
nv,9.822830e-01,1.310355e-03,5,1.000000e-02
gl,9.808925e-01,1.356428e-03,5,1.000000e-02
nv,9.823628e-01,1.304297e-03,5,1.000000e-02
gl,9.809440e-01,1.351837e-03,5,1.000000e-02
nv,9.823990e-01,1.298122e-03,5,1.000000e-02
gl,9.809767e-01,1.349333e-03,5,1.000000e-02
nv,9.823292e-01,1.298507e-03,5,1.000000e-02
gl,9.810100e-01,1.346296e-03,5,1.000000e-02
nv,9.822853e-01,1.296786e-03,5,1.000000e-02
gl,9.810646e-01,1.341074e-03,5,1.000000e-02
nv,9.822707e-01,1.302902e-03,5,1.000000e-02
gl,9.809792e-01,1.340142e-03,5,1.000000e-02
nv,9.822411e-01,1.300122e-03,5,1.000000e-02
gl,9.809478e-01,1.335536e-03,5,1.000000e-02
nv,9.822083e-01,1.305356e-03,5,1.000000e-02
gl,9.810329e-01,1.329768e-03,5,1.000000e-02
nv,9.822509e-01,1.302257e-03,5,1.000000e-02
gl,9.811084e-01,1.323771e-03,5,1.000000e-02
nv,9.822231e-01,1.317032e-03,5,1.000000e-02
gl,9.810508e-01,1.334613e-03,5,1.000000e-02
nv,9.822623e-01,1.311312e-03,5,1.000000e-02
gl,9.811362e-01,1.328909e-03,5,1.000000e-02
nv,9.822245e-01,1.310807e-03,5,1.000000e-02
gl,9.811257e-01,1.326616e-03,5,1.000000e-02
nv,9.821488e-01,1.312222e-03,5,1.000000e-02
gl,9.810852e-01,1.329108e-03,5,1.000000e-02
nv,9.821573e-01,1.307411e-03,5,1.000000e-02
gl,9.811215e-01,1.324211e-03,5,1.000000e-02
nv,9.820753e-01,1.318611e-03,5,1.000000e-02
gl,9.811122e-01,1.326073e-03,5,1.000000e-02
nv,9.821306e-01,1.312884e-03,5,1.000000e-02
gl,9.811324e-01,1.321499e-03,5,1.000000e-02
nv,9.821097e-01,1.309275e-03,5,1.000000e-02
gl,9.810476e-01,1.336947e-03,5,1.000000e-02
nv,9.821208e-01,1.304044e-03,5,1.000000e-02
gl,9.810977e-01,1.331590e-03,5,1.000000e-02
nv,9.821387e-01,1.303215e-03,5,1.000000e-02
gl,9.811272e-01,1.328599e-03,5,1.000000e-02
nv,9.821682e-01,1.297454e-03,5,1.000000e-02
gl,9.810885e-01,1.330673e-03,5,1.000000e-02
