MU: -3.050588e-01 7.329242e-01 1.279184e-01 2.306995e-01 3.996156e-01 
algo,mean,variance,S,tail
gl,9.187880e-01,9.043615e-01,5,3.000000e-02
nv,5.330100e-01,1.102982e-01,5,3.000000e-02
gl,7.194255e-01,6.103809e-01,5,3.000000e-02
nv,6.623700e-01,9.677165e-02,5,3.000000e-02
gl,7.117644e-01,8.629196e-01,5,3.000000e-02
nv,6.940800e-01,8.571188e-02,5,3.000000e-02
gl,7.215408e-01,7.619394e-01,5,3.000000e-02
nv,7.535700e-01,7.815966e-02,5,3.000000e-02
gl,7.340339e-01,7.613384e-01,5,3.000000e-02
nv,7.459800e-01,8.138648e-02,5,3.000000e-02
gl,7.098510e-01,6.978694e-01,5,3.000000e-02
nv,7.473733e-01,7.851392e-02,5,3.000000e-02
gl,6.983259e-01,6.313690e-01,5,3.000000e-02
nv,7.470229e-01,7.272853e-02,5,3.000000e-02
gl,6.750478e-01,5.677176e-01,5,3.000000e-02
nv,7.455662e-01,7.050555e-02,5,3.000000e-02
gl,7.029905e-01,7.201401e-01,5,3.000000e-02
nv,7.422800e-01,7.118610e-02,5,3.000000e-02
gl,6.780432e-01,6.642031e-01,5,3.000000e-02
nv,7.368220e-01,7.529415e-02,5,3.000000e-02
gl,6.581115e-01,6.096187e-01,5,3.000000e-02
nv,7.444791e-01,7.499118e-02,5,3.000000e-02
gl,6.455957e-01,5.900432e-01,5,3.000000e-02
nv,7.543917e-01,7.353694e-02,5,3.000000e-02
gl,6.312467e-01,5.500149e-01,5,3.000000e-02
nv,7.513715e-01,7.557999e-02,5,3.000000e-02
gl,6.360766e-01,5.395196e-01,5,3.000000e-02
nv,7.562757e-01,7.314987e-02,5,3.000000e-02
gl,6.395112e-01,5.282089e-01,5,3.000000e-02
nv,7.459500e-01,7.460800e-02,5,3.000000e-02
gl,6.595072e-01,5.498876e-01,5,3.000000e-02
nv,7.543556e-01,7.298070e-02,5,3.000000e-02
gl,6.600908e-01,5.497528e-01,5,3.000000e-02
nv,7.516812e-01,7.376645e-02,5,3.000000e-02
gl,7.114879e-01,7.633141e-01,5,3.000000e-02
nv,7.477272e-01,7.383268e-02,5,3.000000e-02
gl,7.085346e-01,7.616803e-01,5,3.000000e-02
nv,7.439142e-01,7.546464e-02,5,3.000000e-02
gl,7.110423e-01,7.318654e-01,5,3.000000e-02
nv,7.486670e-01,7.366801e-02,5,3.000000e-02
gl,7.210235e-01,7.204286e-01,5,3.000000e-02
nv,7.513605e-01,7.360585e-02,5,3.000000e-02
gl,7.278069e-01,7.025681e-01,5,3.000000e-02
nv,7.521945e-01,7.482430e-02,5,3.000000e-02
gl,7.348998e-01,7.571022e-01,5,3.000000e-02
nv,7.521017e-01,7.521028e-02,5,3.000000e-02
gl,7.268806e-01,7.379611e-01,5,3.000000e-02
nv,7.572675e-01,7.443653e-02,5,3.000000e-02
gl,7.368744e-01,7.275112e-01,5,3.000000e-02
nv,7.526308e-01,7.701803e-02,5,3.000000e-02
gl,7.359963e-01,7.106350e-01,5,3.000000e-02
nv,7.552938e-01,7.546827e-02,5,3.000000e-02
gl,7.291064e-01,6.897458e-01,5,3.000000e-02
nv,7.587300e-01,7.526874e-02,5,3.000000e-02
gl,7.138264e-01,6.720600e-01,5,3.000000e-02
nv,7.572650e-01,7.654820e-02,5,3.000000e-02
gl,7.100143e-01,6.554639e-01,5,3.000000e-02
nv,7.599538e-01,7.637736e-02,5,3.000000e-02
gl,7.273430e-01,7.995090e-01,5,3.000000e-02
nv,7.646177e-01,7.466303e-02,5,3.000000e-02
gl,7.352965e-01,8.252899e-01,5,3.000000e-02
nv,7.659048e-01,7.510999e-02,5,3.000000e-02
gl,7.274263e-01,8.038444e-01,5,3.000000e-02
