MU: 9.002945e-01 9.971533e-02 -8.438034e-01 -8.573927e-02 -7.460105e-01 
algo,mean,variance,S,tail
gl,6.297193e-01,1.687059e+00,5,4.000000e-02
nv,5.453000e-01,1.273849e-01,5,4.000000e-02
gl,4.488191e-01,8.947633e-01,5,4.000000e-02
nv,6.355900e-01,1.113494e-01,5,4.000000e-02
gl,4.810893e-01,9.570378e-01,5,4.000000e-02
nv,5.807267e-01,1.228246e-01,5,4.000000e-02
gl,6.901594e-01,3.062028e+00,5,4.000000e-02
nv,5.694150e-01,1.322061e-01,5,4.000000e-02
gl,5.862555e-01,2.487334e+00,5,4.000000e-02
nv,5.801740e-01,1.276112e-01,5,4.000000e-02
gl,5.183750e-01,2.091855e+00,5,4.000000e-02
nv,5.877550e-01,1.256277e-01,5,4.000000e-02
gl,4.740540e-01,1.811457e+00,5,4.000000e-02
nv,5.995671e-01,1.224537e-01,5,4.000000e-02
gl,4.579568e-01,1.616449e+00,5,4.000000e-02
nv,5.864588e-01,1.209764e-01,5,4.000000e-02
gl,4.424334e-01,1.447895e+00,5,4.000000e-02
nv,6.005822e-01,1.163085e-01,5,4.000000e-02
gl,4.468626e-01,1.333777e+00,5,4.000000e-02
nv,6.106240e-01,1.156231e-01,5,4.000000e-02
gl,4.303732e-01,1.216177e+00,5,4.000000e-02
nv,5.967373e-01,1.168286e-01,5,4.000000e-02
gl,4.419088e-01,1.149821e+00,5,4.000000e-02
nv,6.039217e-01,1.142856e-01,5,4.000000e-02
gl,4.212333e-01,1.066564e+00,5,4.000000e-02
nv,5.920685e-01,1.149423e-01,5,4.000000e-02
gl,4.406412e-01,1.113853e+00,5,4.000000e-02
nv,5.963100e-01,1.136027e-01,5,4.000000e-02
gl,4.292123e-01,1.044710e+00,5,4.000000e-02
nv,6.061773e-01,1.125608e-01,5,4.000000e-02
gl,4.247133e-01,9.874136e-01,5,4.000000e-02
nv,6.087462e-01,1.109344e-01,5,4.000000e-02
gl,4.158169e-01,9.330256e-01,5,4.000000e-02
nv,6.109641e-01,1.129703e-01,5,4.000000e-02
gl,4.057174e-01,8.859977e-01,5,4.000000e-02
nv,6.082083e-01,1.153459e-01,5,4.000000e-02
gl,4.223569e-01,9.362145e-01,5,4.000000e-02
nv,6.102163e-01,1.136007e-01,5,4.000000e-02
gl,4.386356e-01,9.640000e-01,5,4.000000e-02
nv,6.167345e-01,1.116892e-01,5,4.000000e-02
gl,4.278929e-01,9.228954e-01,5,4.000000e-02
nv,6.166100e-01,1.115682e-01,5,4.000000e-02
gl,4.292218e-01,8.937883e-01,5,4.000000e-02
nv,6.152850e-01,1.118802e-01,5,4.000000e-02
gl,4.234905e-01,8.628872e-01,5,4.000000e-02
nv,6.108074e-01,1.121531e-01,5,4.000000e-02
gl,4.129174e-01,8.304403e-01,5,4.000000e-02
nv,6.117837e-01,1.137712e-01,5,4.000000e-02
gl,4.185627e-01,8.323843e-01,5,4.000000e-02
nv,6.134312e-01,1.139811e-01,5,4.000000e-02
