MU: 7.430923e-01 7.077554e-01 -9.411518e-01 7.634681e-01 1.202121e+00 
algo,mean,variance,S,tail
gl,1.981083e+00,3.556871e+01,5,6.000000e-02
nv,5.495400e-01,1.613667e-01,5,6.000000e-02
gl,1.320315e+00,1.790416e+01,5,6.000000e-02
nv,3.475050e-01,1.443844e-01,5,6.000000e-02
gl,9.588586e-01,1.205659e+01,5,6.000000e-02
nv,4.065800e-01,1.678281e-01,5,6.000000e-02
gl,7.640307e-01,9.084970e+00,5,6.000000e-02
nv,4.386525e-01,1.702020e-01,5,6.000000e-02
gl,6.297699e-01,7.306508e+00,5,6.000000e-02
nv,4.224780e-01,1.574518e-01,5,6.000000e-02
gl,5.601654e-01,6.109652e+00,5,6.000000e-02
nv,3.749617e-01,1.566090e-01,5,6.000000e-02
gl,4.924801e-01,5.252336e+00,5,6.000000e-02
nv,3.625314e-01,1.468156e-01,5,6.000000e-02
gl,4.357809e-01,4.610382e+00,5,6.000000e-02
nv,3.691062e-01,1.488579e-01,5,6.000000e-02
gl,3.950527e-01,4.107085e+00,5,6.000000e-02
nv,3.842689e-01,1.525879e-01,5,6.000000e-02
gl,3.748371e-01,3.710701e+00,5,6.000000e-02
nv,3.813460e-01,1.527979e-01,5,6.000000e-02
gl,3.685495e-01,3.399784e+00,5,6.000000e-02
nv,3.995473e-01,1.534241e-01,5,6.000000e-02
gl,3.486270e-01,3.120551e+00,5,6.000000e-02
nv,3.834767e-01,1.528828e-01,5,6.000000e-02
gl,3.772838e-01,3.039337e+00,5,6.000000e-02
nv,3.860723e-01,1.497729e-01,5,6.000000e-02
gl,3.577778e-01,2.826578e+00,5,6.000000e-02
nv,3.808329e-01,1.485874e-01,5,6.000000e-02
gl,3.398041e-01,2.641815e+00,5,6.000000e-02
nv,3.892480e-01,1.517469e-01,5,6.000000e-02
gl,3.279558e-01,2.480378e+00,5,6.000000e-02
nv,3.801837e-01,1.524065e-01,5,6.000000e-02
gl,3.343083e-01,2.390232e+00,5,6.000000e-02
nv,3.778706e-01,1.523865e-01,5,6.000000e-02
gl,3.286839e-01,2.263916e+00,5,6.000000e-02
nv,3.676172e-01,1.511509e-01,5,6.000000e-02
gl,3.134277e-01,2.148424e+00,5,6.000000e-02
nv,3.710689e-01,1.519973e-01,5,6.000000e-02
gl,3.141823e-01,2.062034e+00,5,6.000000e-02
nv,3.741635e-01,1.509140e-01,5,6.000000e-02
gl,3.224371e-01,2.017539e+00,5,6.000000e-02
nv,3.665324e-01,1.486594e-01,5,6.000000e-02
gl,3.234088e-01,1.933574e+00,5,6.000000e-02
nv,3.663768e-01,1.461985e-01,5,6.000000e-02
gl,3.168286e-01,1.851828e+00,5,6.000000e-02
nv,3.658978e-01,1.442921e-01,5,6.000000e-02
gl,3.093129e-01,1.778189e+00,5,6.000000e-02
nv,3.589354e-01,1.428616e-01,5,6.000000e-02
