MU: -4.169320e-01 7.828803e-01 1.603717e+00 -1.630652e+00 -1.912616e+00 
algo,mean,variance,S,tail
gl,2.398774e-03,6.171670e-06,5,1.500000e-01
nv,0,0,5,1.500000e-01
gl,4.320146e-03,4.673895e-05,5,1.500000e-01
nv,5.573500e-02,3.755047e-02,5,1.500000e-01
gl,5.314042e-03,8.138104e-05,5,1.500000e-01
nv,3.835667e-02,2.524266e-02,5,1.500000e-01
gl,4.674401e-03,7.218112e-05,5,1.500000e-01
nv,2.877250e-02,1.905282e-02,5,1.500000e-01
gl,5.683344e-03,9.909311e-05,5,1.500000e-01
nv,4.308600e-02,2.724508e-02,5,1.500000e-01
gl,5.875903e-03,1.124031e-04,5,1.500000e-01
nv,3.684167e-02,2.287001e-02,5,1.500000e-01
gl,7.842105e-03,3.084926e-04,5,1.500000e-01
nv,3.341000e-02,1.984157e-02,5,1.500000e-01
gl,7.412769e-03,2.727839e-04,5,1.500000e-01
nv,3.463250e-02,1.900820e-02,5,1.500000e-01
gl,1.004644e-01,7.856450e-01,5,1.500000e-01
nv,3.934556e-02,2.293036e-02,5,1.500000e-01
gl,9.058318e-02,7.071753e-01,5,1.500000e-01
nv,3.547200e-02,2.075076e-02,5,1.500000e-01
gl,8.304059e-02,6.428865e-01,5,1.500000e-01
nv,3.258182e-02,1.893422e-02,5,1.500000e-01
gl,7.647100e-02,5.893450e-01,5,1.500000e-01
nv,2.986667e-02,1.742489e-02,5,1.500000e-01
gl,7.101268e-02,5.440224e-01,5,1.500000e-01
nv,2.790000e-02,1.613113e-02,5,1.500000e-01
gl,6.634649e-02,5.051725e-01,5,1.500000e-01
nv,2.604000e-02,1.501748e-02,5,1.500000e-01
gl,6.207238e-02,4.715263e-01,5,1.500000e-01
nv,2.813000e-02,1.518754e-02,5,1.500000e-01
gl,5.882851e-02,4.420434e-01,5,1.500000e-01
nv,2.645125e-02,1.427531e-02,5,1.500000e-01
gl,5.606367e-02,4.160391e-01,5,1.500000e-01
nv,2.663000e-02,1.364186e-02,5,1.500000e-01
gl,5.400007e-02,3.929484e-01,5,1.500000e-01
nv,2.572778e-02,1.294793e-02,5,1.500000e-01
gl,5.204922e-02,3.723029e-01,5,1.500000e-01
nv,2.437368e-02,1.229604e-02,5,1.500000e-01
gl,5.302935e-02,3.558165e-01,5,1.500000e-01
nv,2.502100e-02,1.214493e-02,5,1.500000e-01
gl,5.092196e-02,3.388970e-01,5,1.500000e-01
nv,2.382952e-02,1.159236e-02,5,1.500000e-01
gl,4.901645e-02,3.235202e-01,5,1.500000e-01
nv,2.277864e-02,1.108652e-02,5,1.500000e-01
gl,4.709658e-02,3.094781e-01,5,1.500000e-01
nv,2.293478e-02,1.087622e-02,5,1.500000e-01
gl,4.777628e-02,2.978683e-01,5,1.500000e-01
nv,2.273083e-02,1.054376e-02,5,1.500000e-01
gl,4.615063e-02,2.859760e-01,5,1.500000e-01
nv,2.182160e-02,1.014023e-02,5,1.500000e-01
gl,4.449645e-02,2.750041e-01,5,1.500000e-01
nv,2.098769e-02,9.766178e-03,5,1.500000e-01
gl,4.298328e-02,2.648413e-01,5,1.500000e-01
nv,2.376296e-02,1.191181e-02,5,1.500000e-01
gl,4.219447e-02,2.554678e-01,5,1.500000e-01
nv,2.632000e-02,1.457567e-02,5,1.500000e-01
gl,4.083019e-02,2.466808e-01,5,1.500000e-01
nv,2.543172e-02,1.409352e-02,5,1.500000e-01
gl,4.025398e-02,2.384796e-01,5,1.500000e-01
nv,3.100733e-02,1.779902e-02,5,1.500000e-01
gl,3.930187e-02,2.307990e-01,5,1.500000e-01
nv,3.002548e-02,1.725204e-02,5,1.500000e-01
gl,3.814668e-02,2.236057e-01,5,1.500000e-01
nv,3.202062e-02,1.905518e-02,5,1.500000e-01
gl,3.736266e-02,2.168463e-01,5,1.500000e-01
nv,3.105394e-02,1.850599e-02,5,1.500000e-01
gl,3.703415e-02,2.105777e-01,5,1.500000e-01
nv,3.058647e-02,1.802754e-02,5,1.500000e-01
gl,3.615564e-02,2.045717e-01,5,1.500000e-01
nv,2.975429e-02,1.753505e-02,5,1.500000e-01
gl,3.519173e-02,1.989060e-01,5,1.500000e-01
