MU: 7.690903e-01 1.045132e+00 2.185166e+00 -1.840982e+00 -2.228688e+00 
algo,mean,variance,S,tail
gl,1.872422e-04,1.298803e-07,5,2.500000e-01
nv,0,0,5,2.500000e-01
gl,3.034534e-04,4.141762e-07,5,2.500000e-01
nv,0,0,5,2.500000e-01
gl,3.990899e-04,5.102910e-07,5,2.500000e-01
nv,0,0,5,2.500000e-01
gl,3.794209e-04,4.141660e-07,5,2.500000e-01
nv,0,0,5,2.500000e-01
gl,3.562583e-04,3.571986e-07,5,2.500000e-01
nv,0,0,5,2.500000e-01
gl,5.958960e-04,4.976878e-06,5,2.500000e-01
nv,0,0,5,2.500000e-01
gl,6.969208e-04,6.179877e-06,5,2.500000e-01
nv,0,0,5,2.500000e-01
gl,6.530789e-04,5.460979e-06,5,2.500000e-01
nv,0,0,5,2.500000e-01
gl,5.958029e-04,4.877430e-06,5,2.500000e-01
nv,0,0,5,2.500000e-01
gl,5.433478e-04,4.410919e-06,5,2.500000e-01
nv,1.634000e-03,2.669956e-04,5,2.500000e-01
gl,6.757410e-04,5.537382e-06,5,2.500000e-01
nv,1.012636e-02,8.430000e-03,5,2.500000e-01
gl,1.139347e-03,3.510722e-05,5,2.500000e-01
nv,9.282500e-03,7.729496e-03,5,2.500000e-01
gl,1.121316e-03,3.251275e-05,5,2.500000e-01
nv,8.568462e-03,7.136476e-03,5,2.500000e-01
gl,1.058004e-03,3.023082e-05,5,2.500000e-01
nv,7.956429e-03,6.627965e-03,5,2.500000e-01
gl,9.995158e-04,2.825771e-05,5,2.500000e-01
nv,7.426000e-03,6.187101e-03,5,2.500000e-01
gl,9.521534e-04,2.652368e-05,5,2.500000e-01
nv,9.754375e-03,7.009789e-03,5,2.500000e-01
gl,9.040098e-04,2.499343e-05,5,2.500000e-01
nv,9.182941e-03,6.600265e-03,5,2.500000e-01
gl,8.631414e-04,2.363055e-05,5,2.500000e-01
nv,8.672778e-03,6.235984e-03,5,2.500000e-01
gl,8.274992e-04,2.240677e-05,5,2.500000e-01
nv,8.216316e-03,5.909808e-03,5,2.500000e-01
gl,7.988909e-04,2.129966e-05,5,2.500000e-01
