MU: 1.370581e+00 2.569893e+00 -2.103890e+00 4.645965e-01 1.885569e+00 
algo,mean,variance,S,tail
gl,4.460387e-04,8.769336e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,2.378804e-04,4.616108e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.935867e-04,3.149671e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.724397e-04,2.515234e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.469666e-04,2.036968e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.644913e-04,2.128776e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.615291e-04,1.962162e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.513043e-04,1.749396e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.461245e-04,1.596885e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.379397e-04,1.447144e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.280161e-04,1.325414e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.249022e-04,1.224507e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.166606e-04,1.138560e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.224744e-04,1.194051e-07,5,3.000000e-01
nv,0,0,5,3.000000e-01
gl,1.163716e-04,1.121381e-07,5,3.000000e-01
nv,3.333333e-06,1.666667e-09,5,3.000000e-01
gl,1.106468e-04,1.056349e-07,5,3.000000e-01
nv,3.125000e-06,1.562500e-09,5,3.000000e-01
gl,1.189683e-04,1.093764e-07,5,3.000000e-01
nv,2.941176e-06,1.470588e-09,5,3.000000e-01
gl,1.250050e-04,1.076806e-07,5,3.000000e-01
nv,2.777778e-06,1.388889e-09,5,3.000000e-01
gl,1.330303e-04,1.243966e-07,5,3.000000e-01
nv,2.631579e-06,1.315789e-09,5,3.000000e-01
